TSTAMP,EstX,EstY,EstVX,EstVY
0.0,[207.60565821],[561.57456351],[138.34228668],[374.21672379]
0.03888518518518519,[207.27807245],[563.69050549],[-22.87091653],[-58.27851728]
0.07777037037037038,[202.61268972],[559.69680519],[-14.63030682],[-28.00618443]
0.11665555555555555,[200.16727968],[559.91982015],[-8.09406169],[-12.56273265]
0.15554074074074076,[197.61619614],[561.67508956],[-5.75993181],[-5.60528059]
0.19442592592592592,[194.61617929],[563.6738185],[-4.8727638],[-2.08863823]
0.2333111111111111,[193.38598989],[566.04870239],[-2.9994913],[0.18972292]
0.2721962962962963,[191.31663771],[567.7495028],[-2.46154181],[1.08276446]
0.3110814814814815,[190.26349474],[569.04860599],[-1.46939526],[1.31469615]
0.34996666666666665,[187.73627923],[569.74223398],[-1.95123637],[0.99874424]
0.38885185185185184,[186.31132021],[571.58364756],[-1.53347586],[1.58068005]
0.427737037037037,[185.73464428],[573.55356132],[-0.760336],[1.96965852]
0.4666222222222222,[187.97654043],[576.91643452],[1.50795182],[3.08102323]
0.5055074074074074,[189.77313659],[577.92704],[2.33241991],[2.0152579]
0.5443925925925927,[189.99060644],[578.57129421],[1.51233456],[1.10346348]
0.5832777777777778,[189.43413372],[578.48085927],[0.37257965],[0.120895]
0.622162962962963,[189.36685396],[578.93066192],[0.02176889],[0.02569107]
0.6610481481481482,[189.26442297],[578.66672055],[-0.17080866],[-0.41092422]
0.6999333333333333,[189.19763741],[578.51052461],[-0.21539111],[-0.49279218]
0.7388185185185185,[189.17716091],[578.82334302],[-0.1727607],[-0.13887576]
0.7777037037037037,[189.91417472],[578.99144384],[0.38713199],[0.007686]
0.8165888888888889,[189.86229377],[580.13300755],[0.1680171],[0.7645213]
0.855474074074074,[187.97527152],[580.93057429],[-1.2074731],[0.9315635]
0.8943592592592593,[186.83701831],[580.78568364],[-1.43329261],[0.33468727]
0.9332444444444444,[186.53897996],[580.59593907],[-0.90353461],[-0.04976196]
0.9721296296296297,[185.89473555],[580.45842402],[-0.78479127],[-0.20704263]
1.0110148148148148,[185.78440821],[580.39342098],[-0.34524772],[-0.21018986]
1.0499,[185.51056334],[580.38344672],[-0.21840054],[-0.14385452]
1.0887851851851853,[185.11501075],[580.75641115],[-0.25734497],[0.17233489]
1.1276703703703703,[184.6495809],[580.9200714],[-0.34956524],[0.20658341]
1.1665555555555556,[183.79349373],[581.67221297],[-0.67614283],[0.61178611]
1.2054407407407408,[183.51774928],[581.22845247],[-0.46240655],[0.00138606]
1.244325925925926,[183.51407224],[580.97111881],[-0.1489904],[-0.22458174]
1.283211111111111,[182.86756681],[582.27923247],[-0.4175925],[0.73544943]
1.3220962962962963,[181.92476262],[582.81343454],[-0.77957396],[0.7378326]
1.3609814814814816,[181.25870558],[582.2145486],[-0.78210578],[-0.07306061]
